phase,actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
FW-2 inspect before patch,55,55,script/native candidate,tools/Apply_CodeRED_SCCL_Lane_Sort_From_Repo.ps1,repo/text,,scripting:31|spawning:16,create_actor,7442
FW-2 inspect before patch,52,52,script/native candidate,tools/codered_ai_menu_doctor.py,repo/text,,scripting:7|spawning:5|world_hosts:32,create_actor,8223
FW-2 world-host discovery,51,26,world host / gringo,tools/codered_probe_wsc_headers.py,repo/text,,scripting:2|world_hosts:16,vehicle_generator,5505
FW-2 inspect before patch,48,48,script/native candidate,docs/script_workflow/native_registry/candidate_natives.csv,repo/text,,scripting:8|spawning:14|world_hosts:10,create_actor|task_follow,1305
FW-2 inspect before patch,45,45,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/patches/CodeRED_native_bridge_merge_notes.md,repo/text,,scripting:1|spawning:36,create_actor,2242
FW-2 world-host discovery,44,19,world host / gringo,tools/codered_xsc_to_wsc_candidate.py,repo/text,,scripting:7|world_hosts:12,,4293
FW-2 world-host discovery,42,17,archive patch lane,research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/pass29_summary.json,repo/text,,scripting:2|spawning:5|war_behavior:1|world_hosts:1,population,1379
FW-2 world-host discovery,38,13,world host / gringo,docs/script_workflow/DEBUG_CHEAT_MENU_FINDINGS.md,repo/text,,scripting:4|spawning:8|world_hosts:1,,2665
FW-3 copied-archive proof,32,32,archive patch lane,tools/codered_override_menu_finder.py,repo/text,,factions:1|scripting:29|spawning:2,,10583
FW-3 copied-archive proof,24,24,archive patch lane,research/menu resources/3. Add-On Menu/READ.txt,repo/text,,scripting:12|spawning:12,,2157
FW-2 inspect before patch,22,22,script/native candidate,research/Code_RED_CarTruck_MissionRecipe_Pass29/recipes/car_truck_spawn_recipe_pseudocode.txt,repo/text,,scripting:4|spawning:9|world_hosts:1,create_actor,1027
FW-2 inspect before patch,22,22,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/car_truck_spawn_recipe_pseudocode.txt,repo/text,,scripting:4|spawning:9|world_hosts:1,create_actor,1002
FW-2 inspect before patch,20,20,script/native candidate,research/Code_RED_CarTruck_MissionRecipe_Pass29/evidence/Function_452_0x149BA.txt,repo/text,,scripting:8|spawning:4,task_follow,853
FW-3 copied-archive proof,19,19,archive patch lane,docs/code-red-script-workflow/README.md,repo/text,,scripting:13|spawning:3|world_hosts:3,,2189
FW-3 copied-archive proof,17,17,archive patch lane,research/multiplayer_update_thread_audit.md,repo/text,,scripting:14|spawning:2|world_hosts:1,,2773
FW-3 copied-archive proof,14,14,archive patch lane,tools/codered_regression_guard.py,repo/text,,scripting:3|spawning:2|war_behavior:8|world_hosts:1,,13714
FW-3 copied-archive proof,14,14,archive patch lane,related_apps/Code_RED_ScriptHookRDR_AI_Menu/CodeRED_Trainer_AI_Menu_v1.bat,repo/text,,factions:1|spawning:2|war_behavior:7|world_hosts:4,,2571
FW-3 copied-archive proof,11,11,archive patch lane,tools/codered_classify_script_artifacts.py,repo/text,,scripting:11,,7499
FW-3 copied-archive proof,6,6,archive patch lane,scratch/script_workshop_pipeline/SCRIPT_PIPELINE_GUIDE.md,repo/text,,scripting:6,,807
FW-3 copied-archive proof,6,6,archive patch lane,related_apps/Code_RED_ScriptHookRDR_AI_Menu/install_ai_menu_asi_windows.ps1,repo/text,,scripting:2|spawning:4,,3406
FW-3 copied-archive proof,5,5,archive patch lane,tools/codered_codex_modelxml_validation.py,repo/text,,factions:2|scripting:1|spawning:2,,16743
FW-3 copied-archive proof,4,4,archive patch lane,scratch/script_workshop_pipeline/open_script_workshop.bat,repo/text,,scripting:4,,373
FW-3 copied-archive proof,4,4,archive patch lane,research/terrainboundres_patch_smoke/terrainboundres_smoke_copy_terrainbound_byte_patch_report.json,repo/text,,spawning:4,,1294
FW-3 copied-archive proof,3,3,archive patch lane,research/Code_RED_Car_Truck_FBI_Pass26_RESEARCH/reports/pass26_car_truck_fbi_summary.json,repo/text,,scripting:1|spawning:2,,1772
